82,ut odio cras mi pede,9,1979-08-15,304,39,2,879161892,638.24,251.08,11,2015-01-09 20:58:17
83,sit amet justo,,1915-07-31,342,74,3,7599416994,451.94,95.41,6,2012-10-21 02:03:44
84,dignissim vestibulum,,1992-03-15,113,74,2,2311697404,893.65,169.3,17,2016-11-22 11:20:47
85,rutrum rutrum neque aenean auctor,6,1935-08-20,243,39,2,5845934117,385.36,10.68,0,2014-04-15 09:11:28
86,ac consequat,,2016-06-01,582,39,1,9438401792,314.4,28.11,35,2017-03-12 03:17:41
87,ante,,1952-09-17,182,39,1,7433369929,975.56,21.79,15,2015-09-24 11:27:55
88,turpis adipiscing,,1965-07-07,320,41,1,2327461561,680.51,147.98,0,2012-07-29 18:55:18
89,leo rhoncus,,1991-01-21,453,39,2,2926847726,819.96,293.72,6,2014-11-26 20:43:17
90,justo aliquam quis turpis eget,,1981-01-13,614,39,3,8940009932,900.67,200.63,14,2015-11-13 22:53:27
91,mauris sit amet,,1902-07-21,433,39,3,5166287975,473.53,264.44,17,2014-09-23 00:00:42
92,aliquam lacus morbi quis tortor,,1912-09-10,360,39,1,1385384476,541.09,50.4,33,2014-02-05 23:00:56
93,et ultrices posuere cubilia,,1970-05-31,218,39,2,3247971149,661.19,112.35,40,2016-12-19 13:11:15
94,consequat morbi a ipsum integer,9,1920-02-26,495,41,3,2550062000,250.15,64.83,39,2016-06-29 23:03:27
95,viverra dapibus nulla suscipit,,1931-11-21,561,39,3,786804068,240.68,75.47,49,2012-01-26 13:45:39
96,platea dictumst morbi,,1968-12-18,514,39,1,2336791684,902.8,263.01,26,2013-08-26 10:08:28
97,tempus vel pede morbi porttitor,4,1901-03-12,568,41,4,3891873433,836.5,293.92,0,2016-03-03 23:48:33
98,mus vivamus,6,2012-03-21,615,39,2,3189770484,537.03,79.74,32,2012-10-10 17:53:34
99,ridiculus mus etiam vel,,1963-08-27,553,39,4,1354510682,767.58,76.67,34,2017-04-05 13:18:39
100,non lectus aliquam,,2010-12-30,590,39,4,972157290X,112.13,3.47,11,2015-04-07 15:53:54
