421,Parmenides Publishing
422,Paula Maylahn Consulting
423,Paula Wiseman Books
424,Peachpit Press
425,Pearson
426,Pegasus Books
427,Penguin
428,Penguin Classics
429,Penguin Random House
430,Penguin Random House
431,Pennsylvania State University Press
432,People's Medical Publishing House - USA
433,Perigree Books
434,Peterson Institute for International Economics
435,Philomel Books
436,Philosophical Library
437,Pimsleur Language Programs
438,Pinnacle Books
439,Plume
440,Pocket Books
441,POE Communications
442,Poisoned Pen Press
443,Poppy
444,Portfolio
445,Portico
446,Prentice Hall
447,Prentice Hall Business
448,Price Stern Sloan
449,Princeton Architectural Press
450,Princeton University Press
451,Project Management Institute (PMI)
452,Project Wet Foundation
453,ProQuest
454,Prospect Park Books
455,PSI, Ltd.
456,Publishing Illuminations
457,Puffin Books
458,Purdue University Press
459,Pushkin Press
460,Que Publishing
461,Quirk Books
462,Rainbow Creative Concepts Inc.
463,Ramsey & Todd
464,Random House Children's Books
465,Random House Publishing Group
466,Razorbill
467,Reagan Arthur
468,Redwood Press
469,RELX Group
470,RH Audio Publishing Group
471,RH Information Group
472,RH International
473,RH Large Print
474,Riverdale Avenue Books
475,Riverhead Books
476,Robert-Leslie Publishing
477,Rockefeller University Press
478,Rodale, Inc
479,Rosen Publishing Group
480,Saddleback Education Inc.
481,SAGE Publications
482,Saguaro Books
483,Salaam Reads
484,SAMS Publishing
485,Sandhill Consulting Group
486,Scholastic Testing Service, Inc
487,Scholastic, Inc.
488,Scout Press
489,Scribner
490,SEG Measurement
491,SelectBooks, Inc.
492,Sentinel
493,Shell Educational Publishing
494,Silverchair Information Systems
495,Simon & Schuster
496,Simon & Schuster
497,Simon & Schuster Audio
498,Simon & Schuster Books for Young Readers
499,Simon Pulse
500,Simon Spotlight
501,SIPX
502,Small Horizons
503,Smithsonian Science Education Center
504,Social Studies School Service
505,Society for Industrial and Applied Mathematics (SIAM)
506,Society of Automotive Engineers International (SAE)
507,SOHO Press
508,SohoConstable
509,SohoCrime
510,SohoTeen
511,Sourcebooks Casablanca
512,Sourcebooks Fire
513,Sourcebooks Hysteria
514,Sourcebooks Jabberwocky
515,Sourcebooks Landmark
516,Sourcebooks MediaFusion
517,Sourcebooks, Inc
518,Speak
519,Sphinx Publishing
520,SPi Global
521,Springer Publishing Company
522,St. Martin's Press
523,Stanford Briefs
524,Stanford University Press
525,Sterling Publishing Company, Inc
526,Stone Arch Books
527,Storey Publishing
528,Story Plant, The
529,Swoon Romance
530,Talking Fingers, Inc.
531,Tanglewood Publishing, Inc.
532,Tantrum Books
533,Tarcher
534,Taylor and Francis Group
535,Teacher Created Materials
536,Teachers College Press
537,Teaching Strategies, Inc
538,Teaching Tolerance
539,Technica Editorial Services
540,TED
541,TERC
542,Texas Instruments
543,Texthelp Systems
544,Thames & Hudson
545,The Complete Idiot's Guide
546,The InvestiGator Club
547,The Jama Network
548,The Journal of American Academy of Business
549,The Little Bookroom
550,The Melville House Bookstore
551,The New York Review Children's Collection
552,The Penguin Press
553,The Poisoned Pencil
554,The Riverside Publishing Company
555,The Viking Press
556,Thieme Medical Publishers
557,Thomas Nelson
558,Threshold Editions
559,Timber Press
560,Times Inc. Books
561,Tor/Forge
562,Touchstone
563,Trialtea USA, LLC
564,Turner Publishing Company
565,Twelve
566,United Nations
567,University of Alaska Press
568,University of California Press
569,University of Chicago Press
570,University of Hawaii Press
571,University of Illinois Press
572,University of Michigan Medical School
573,University of Minnesota Press
574,University of North Carolina Press
575,University of Pennsylvania Press
576,University of Texas Press
577,University of Wisconsin Press
578,University Press of Colorado
579,Utah State University Press
580,Velazquez Press
581,Vernier Software & Technology
582,Verso
583,Viking Books for Young Readers
584,Vision
585,Voyager Sopris Learning
586,W. H. Freeman
587,W. W. Norton & Company
588,Walter de Gruyter, Inc.
589,Water Environment Federation (WEF)
590,Watson-Guptill
591,Webcrafters, Inc
592,Wesleyan University Press
593,Westchester Publishing Services
594,WestEd
595,Westminster John Knox Press
596,White Bird Publications LLC
597,White Point Press LLC
598,Wild Rose Press, The
599,Wiley Blackwell Publishing
600,William K. Bradford Publishing
601,Winter Group
602,Wisconsin Historical Society Press
603,Wisdom Publications
604,Wittel/Morris Strategic Consulting
605,Wolters Kluwer
606,Woodburn Press
607,Wooster Book Company, The
608,Workman Publishing Company
609,Wright Group/ McGraw Hill
610,Yale University Press
611,YBK Publishers
612,Yen Press
613,York Notes
614,Zebra Books
615,Zondervan
